store,city,brand,size,onhand,price,startdate
1,32,58,750.0,8,12.99,2024-01-01
1,32,60,750.0,7,10.99,2024-01-01
1,32,62,750.0,6,36.99,2024-01-01
1,32,63,750.0,3,38.99,2024-01-01
1,32,72,750.0,6,34.99,2024-01-01
1,32,75,750.0,18,14.99,2024-01-01
1,32,77,750.0,7,14.99,2024-01-01
1,32,79,750.0,2,14.99,2024-01-01
1,32,115,1000.0,5,27.99,2024-01-01
1,32,120,750.0,11,13.99,2024-01-01
1,32,126,1000.0,17,29.99,2024-01-01
1,32,165,750.0,0,26.99,2024-01-01
1,32,171,0.0,12,49.99,2024-01-01
1,32,175,750.0,6,41.99,2024-01-01
1,32,178,750.0,24,26.99,2024-01-01
1,32,192,750.0,2,35.99,2024-01-01
1,32,211,750.0,6,29.99,2024-01-01
1,32,233,750.0,11,42.99,2024-01-01
1,32,247,750.0,1,199.99,2024-01-01
1,32,254,1000.0,13,10.99,2024-01-01
1,32,261,1000.0,14,12.99,2024-01-01
1,32,273,0.0,29,21.99,2024-01-01
1,32,281,750.0,1,9.99,2024-01-01
1,32,283,750.0,4,57.99,2024-01-01
1,32,284,750.0,2,77.99,2024-01-01
1,32,294,1000.0,28,8.49,2024-01-01
1,32,305,1000.0,0,27.99,2024-01-01
1,32,311,750.0,8,41.99,2024-01-01
1,32,323,750.0,6,13.99,2024-01-01
1,32,344,750.0,3,19.99,2024-01-01
1,32,356,750.0,0,11.49,2024-01-01
1,32,361,750.0,10,19.99,2024-01-01
1,32,366,750.0,2,21.99,2024-01-01
1,32,376,750.0,7,28.99,2024-01-01
1,32,381,750.0,7,18.99,2024-01-01
1,32,384,750.0,8,69.99,2024-01-01
1,32,388,1000.0,25,14.49,2024-01-01
1,32,403,1000.0,6,23.99,2024-01-01
1,32,408,750.0,57,17.99,2024-01-01
1,32,415,1000.0,27,20.99,2024-01-01
1,32,419,1000.0,2,19.99,2024-01-01
1,32,425,750.0,1,799.99,2024-01-01
1,32,426,50.0,48,7.99,2024-01-01
1,32,435,750.0,8,15.99,2024-01-01
1,32,438,750.0,11,18.99,2024-01-01
1,32,443,750.0,14,33.99,2024-01-01
1,32,450,750.0,7,24.99,2024-01-01
1,32,463,750.0,3,33.99,2024-01-01
1,32,482,1000.0,0,19.99,2024-01-01
1,32,485,1000.0,17,12.99,2024-01-01
1,32,497,1000.0,16,19.99,2024-01-01
1,32,508,1000.0,36,15.49,2024-01-01
1,32,513,750.0,0,28.99,2024-01-01
1,32,515,750.0,2,34.99,2024-01-01
1,32,523,750.0,4,10.49,2024-01-01
1,32,525,750.0,6,39.99,2024-01-01
1,32,536,1000.0,15,12.99,2024-01-01
1,32,538,375.0,0,10.99,2024-01-01
1,32,539,1000.0,0,5.79,2024-01-01
1,32,543,750.0,5,29.99,2024-01-01
1,32,555,750.0,4,32.99,2024-01-01
1,32,567,1000.0,15,28.99,2024-01-01
1,32,597,1000.0,1,27.99,2024-01-01
1,32,649,750.0,5,39.99,2024-01-01
1,32,652,750.0,1,21.99,2024-01-01
1,32,653,750.0,5,37.99,2024-01-01
1,32,659,750.0,6,33.99,2024-01-01
1,32,661,750.0,33,13.99,2024-01-01
1,32,664,750.0,8,73.99,2024-01-01
1,32,676,750.0,0,10.99,2024-01-01
1,32,680,750.0,36,19.99,2024-01-01
1,32,686,750.0,14,19.99,2024-01-01
1,32,693,1000.0,7,12.99,2024-01-01
1,32,742,1000.0,10,12.99,2024-01-01
1,32,743,750.0,2,49.99,2024-01-01
1,32,753,750.0,3,19.99,2024-01-01
1,32,757,750.0,17,17.99,2024-01-01
1,32,759,750.0,6,51.99,2024-01-01
1,32,779,1000.0,6,12.99,2024-01-01
1,32,780,1000.0,14,12.99,2024-01-01
1,32,782,750.0,3,44.99,2024-01-01
1,32,802,750.0,6,9.99,2024-01-01
1,32,807,1000.0,10,17.99,2024-01-01
1,32,809,1000.0,5,19.99,2024-01-01
1,32,810,750.0,12,9.99,2024-01-01
1,32,811,1000.0,0,27.99,2024-01-01
1,32,812,1000.0,27,22.99,2024-01-01
1,32,821,1000.0,9,38.99,2024-01-01
1,32,822,1000.0,0,26.99,2024-01-01
1,32,824,1000.0,0,26.99,2024-01-01
1,32,828,1000.0,10,9.99,2024-01-01
1,32,831,1000.0,12,9.99,2024-01-01
1,32,836,1000.0,12,9.99,2024-01-01
1,32,838,1000.0,2,10.99,2024-01-01
1,32,854,1000.0,15,15.99,2024-01-01
1,32,856,750.0,21,29.99,2024-01-01
1,32,857,1000.0,6,22.99,2024-01-01
1,32,858,1000.0,5,11.99,2024-01-01
1,32,859,1000.0,6,22.99,2024-01-01
1,32,870,1000.0,2,26.99,2024-01-01
1,32,876,1000.0,12,8.99,2024-01-01
1,32,883,750.0,2,499.99,2024-01-01
1,32,889,1000.0,1,12.99,2024-01-01
1,32,892,750.0,5,33.99,2024-01-01
1,32,895,1000.0,1,23.99,2024-01-01
1,32,903,1000.0,13,26.99,2024-01-01
1,32,934,750.0,12,35.99,2024-01-01
1,32,938,750.0,0,29.99,2024-01-01
1,32,942,750.0,2,59.99,2024-01-01
1,32,950,750.0,2,79.99,2024-01-01
1,32,966,750.0,31,20.99,2024-01-01
1,32,970,750.0,8,15.99,2024-01-01
1,32,971,1000.0,16,15.99,2024-01-01
1,32,984,750.0,42,25.99,2024-01-01
1,32,999,750.0,0,119.99,2024-01-01
1,32,1000,750.0,0,14.99,2024-01-01
1,32,1001,0.0,0,5.99,2024-01-01
1,32,1004,750.0,17,16.49,2024-01-01
1,32,1005,0.0,7,34.99,2024-01-01
1,32,1006,0.0,1,3.99,2024-01-01
1,32,1009,0.0,1,49.99,2024-01-01
1,32,1012,750.0,7,34.99,2024-01-01
1,32,1013,750.0,4,18.99,2024-01-01
1,32,1019,750.0,18,26.99,2024-01-01
1,32,1020,750.0,1,24.99,2024-01-01
1,32,1021,750.0,12,13.99,2024-01-01
1,32,1022,750.0,0,13.99,2024-01-01
1,32,1023,750.0,59,51.99,2024-01-01
1,32,1024,750.0,53,31.99,2024-01-01
1,32,1029,750.0,3,9.99,2024-01-01
1,32,1030,750.0,6,18.99,2024-01-01
1,32,1031,0.0,5,49.99,2024-01-01
1,32,1033,750.0,17,29.99,2024-01-01
