brand,price,size,volume,classification,purchaseprice,vendornumber
58,12.99,750.0,750,1,9.28,8320
62,36.99,750.0,750,1,28.67,1128
63,38.99,750.0,750,1,30.46,1128
72,34.99,750.0,750,1,26.11,9165
75,14.99,750.0,750,1,10.94,7245
77,12.99,750.0,750,1,10.39,7245
79,14.99,750.0,750,1,9.62,7245
115,27.99,1000.0,1000,1,21.37,8112
126,32.99,1000.0,1000,1,20.14,480
168,12.99,750.0,750,1,8.95,7245
171,49.99,1750.0,1750,1,36.76,1128
173,22.99,750.0,750,1,14.7,12546
175,36.99,750.0,750,1,26.8,7245
178,29.99,750.0,750,1,20.76,11567
192,35.99,750.0,750,1,27.68,3664
211,24.99,750.0,750,1,19.83,4425
229,12.99,750.0,750,1,10.39,12546
233,46.99,750.0,750,1,30.21,3664
247,199.99,750.0,750,1,156.24,9165
254,10.99,1000.0,1000,1,8.79,12546
261,12.99,1000.0,1000,1,9.99,1392
273,21.99,1750.0,1750,1,17.31,12546
283,61.99,750.0,750,1,39.69,3664
284,77.99,750.0,750,1,53.43,3664
294,8.49,1000.0,1000,1,6.79,9552
305,27.99,1000.0,1000,1,22.21,3960
323,13.99,750.0,750,1,10.6,5992
344,19.99,750.0,750,1,15.74,9165
361,19.99,750.0,750,1,14.28,12546
376,26.99,750.0,750,1,18.97,11567
384,74.99,750.0,750,1,54.68,8112
388,14.49,1000.0,1000,1,11.41,3960
408,16.99,750.0,750,1,12.97,11567
415,20.99,1000.0,1000,1,13.04,7245
419,21.99,1000.0,1000,1,15.99,17035
425,799.99,750.0,750,1,620.15,8112
426,7.99,50.0,50,1,6.29,9165
435,17.99,750.0,750,1,12.79,7153
438,19.99,750.0,750,1,12.77,4425
443,33.99,750.0,750,1,24.45,480
450,24.99,750.0,750,1,19.52,4425
463,33.99,750.0,750,1,24.63,653
482,21.99,1000.0,1000,1,14.28,17035
485,12.99,1000.0,1000,1,10.39,3960
497,19.99,1000.0,1000,1,14.7,3960
508,12.99,1000.0,1000,1,9.77,480
513,28.99,750.0,750,1,23.01,9165
515,35.99,750.0,750,1,25.36,9165
525,39.99,750.0,750,1,31.0,12546
536,12.99,1000.0,1000,1,9.92,1392
538,12.99,375.0,375,1,7.96,2555
539,5.79,1000.0,1000,1,4.2,8004
543,31.99,750.0,750,1,22.72,9552
555,29.99,750.0,750,1,21.73,3664
567,28.99,1000.0,1000,1,20.71,3960
592,164.99,750.0,750,1,127.99,17035
597,27.99,1000.0,1000,1,21.53,3960
605,16.99,750.0,750,2,9.67,10754
607,8.49,750.0,750,2,5.74,9552
649,36.99,750.0,750,1,28.67,12546
653,29.99,750.0,750,1,21.73,3924
661,16.99,750.0,750,1,9.99,12546
664,78.99,750.0,750,1,54.01,8112
676,10.99,750.0,750,1,8.65,12546
680,18.99,750.0,750,1,13.86,9165
686,18.99,750.0,750,1,14.95,9165
693,12.99,1000.0,1000,1,9.35,1392
742,12.99,1000.0,1000,1,10.39,12546
743,45.99,750.0,750,1,36.5,480
753,19.99,750.0,750,2,13.79,90032
757,17.99,750.0,750,1,13.95,12546
758,39.99,1000.0,1000,1,28.77,7239
759,49.99,750.0,750,1,37.0,9165
779,12.99,1000.0,1000,1,9.55,1392
780,12.99,1000.0,1000,1,9.84,1392
782,54.99,750.0,750,1,35.15,7239
802,11.99,750.0,750,1,7.99,480
807,19.99,1000.0,1000,1,13.23,12546
809,17.99,1000.0,1000,1,13.13,1128
810,11.99,750.0,750,1,7.19,480
811,29.99,1000.0,1000,1,19.84,1128
812,22.99,1000.0,1000,1,17.03,3089
820,39.99,1000.0,1000,1,25.54,8112
821,38.99,1000.0,1000,1,27.99,8112
822,26.99,1000.0,1000,1,19.99,3960
824,26.99,1000.0,1000,1,20.76,480
828,9.99,1000.0,1000,1,7.74,6213
831,9.99,1000.0,1000,1,7.46,6213
836,9.99,1000.0,1000,1,7.8,6213
838,10.99,1000.0,1000,1,7.96,6213
854,15.99,1000.0,1000,1,11.67,3960
856,29.99,750.0,750,1,21.73,9165
857,21.99,1000.0,1000,1,16.17,17035
858,11.99,1000.0,1000,1,8.95,12546
859,22.99,1000.0,1000,1,17.29,17035
870,29.99,1000.0,1000,2,17.64,9165
876,8.99,1000.0,1000,1,6.66,12546
883,499.99,750.0,750,1,390.62,9165
892,33.99,750.0,750,1,24.99,653
903,24.99,1000.0,1000,1,18.79,480
934,35.99,750.0,750,1,26.08,9165
942,64.99,750.0,750,1,45.45,8112
950,79.99,750.0,750,1,58.82,653
966,20.99,750.0,750,1,16.15,9165
970,17.99,750.0,750,1,12.11,9206
971,15.99,1000.0,1000,1,11.42,12546
973,19.99,750.0,750,1,11.9,480
984,25.99,750.0,750,1,20.63,9165
993,14.99,750.0,750,1,8.33,7245
999,114.99,750.0,750,1,89.84,17035
1094,40.99,750.0,750,1,29.92,9552
1099,45.99,750.0,750,1,33.33,480
1106,249.99,750.0,750,1,155.55,480
1133,31.99,0.0,100,1,23.01,8112
1135,19.99,750.0,750,1,15.62,8352
1136,4.99,0.0,50,1,3.87,17035
1174,19.99,1750.0,1750,1,15.87,8352
1178,10.99,750.0,750,1,7.83,3924
1180,16.99,1750.0,1750,1,13.07,3924
1186,24.99,750.0,750,1,17.98,3924
1202,31.99,750.0,750,1,19.28,8112
1212,21.99,750.0,750,1,14.38,2555
1220,29.99,750.0,750,1,21.89,1128
1226,29.99,750.0,750,1,19.99,9625
1228,95.99,750.0,750,1,69.76,3664
1231,12.99,375.0,375,1,9.48,1128
1232,22.99,750.0,750,1,15.93,1128
1233,36.99,1750.0,1750,1,26.27,1128
1237,44.99,750.0,750,1,33.83,1128
1238,4.99,50.0,50,1,3.56,17035
1239,49.99,750.0,750,1,39.99,12546
1242,10.99,750.0,750,1,8.02,3960
1244,17.99,750.0,750,1,12.79,1128
1252,22.99,750.0,750,1,13.84,12546
